Patch_ID,Pop_ID,Transect,Corr_or_greenspace,Distance,Corr_or_StClair,Notes
AS001,MW001,South,Corridor,2190,C,About 140 m away from green space perpendicular to corridor
AS002,MW002,South,Corridor,2680,C,"Technically not in corridor, but is in green space that is connected to corridor (perpendicular)"
AS003,MW003,South,Corridor,600,C,"Technically not in corridor, but is in green space that is connected to corridor (perpendicular)"
AS004,MW003,South,Corridor,530,C,"Technically not in corridor, but is in green space that is connected to corridor (perpendicular)"
AS005,MW004,South,Corridor,325,C,"Technically not in corridor, but is in green space that is connected to corridor (perpendicular)"
AS006,MW004,South,Corridor,300,C,"Technically not in corridor, but is in green space that is connected to corridor (perpendicular)"
AS007,MW004,South,Corridor,0,C,
AS008,MW004,South,Corridor,0,C,
AS009,MW004,South,Corridor,0,C,
AS024,MW011,South,Corridor,1330,C,
AS025,MW012,South,Corridor,0,C,"Technically not in corridor, but is in green space that is connected to corridor (perpendicular)"
AS026,MW013,South,Corridor,0,C,"Technically not in corridor, but is in green space that is connected to corridor (perpendicular)"
AS027,MW014,South,Corridor,0,C,
AS028,MW015,South,Corridor,0,C,"Technically not in corridor, but is in green space that is connected to corridor (perpendicular)"
AS045,MW032,South,Corridor,0,C,
AS062,MW049,South,Corridor,640,C,About 10 m away from green space perpendicular to corridor
AS063,MW050,South,Corridor,0,C,
AS064,MW051,South,Corridor,1330,S,
AS065,MW052,South,Corridor,412,S,
AS066,MW053,South,Corridor,1060,S,
AS067,MW054,South,Corridor,176,S,
AS068,MW055,South,Corridor,282,S,
AS069,MW056,South,Corridor,508,S,
AS070,MW057,South,Corridor,624,C,
AS071,MW058,South,Corridor,390,C,
AS072,MW059,South,Corridor,264,C,
AS082,MW069,South,Corridor,0,C,
AS087,MW074,South,Corridor,209,C,
AS088,MW075,South,Corridor,45,C,
AS089,MW076,South,Corridor,70,C,
AS090,MW077,South,Corridor,60,C,"Technically 195 m from corridor, but only 60m from green space perpendicular/connected to corridor"
AS091,MW078,South,Corridor,50,C,
AS092,MW079,South,Corridor,175,C,
AS093,MW080,South,Corridor,800,C,
AS001,MW001,South,Greenspace,140,C,
AS002,MW002,South,Greenspace,0,C,
AS003,MW003,South,Greenspace,0,C,
AS004,MW003,South,Greenspace,0,C,
AS005,MW004,South,Greenspace,0,C,
AS006,MW004,South,Greenspace,0,C,
AS007,MW004,South,Greenspace,0,C,
AS008,MW004,South,Greenspace,0,C,
AS009,MW004,South,Greenspace,0,C,
AS024,MW011,South,Greenspace,1330,C,
AS025,MW012,South,Greenspace,0,C,
AS026,MW013,South,Greenspace,0,C,
AS027,MW014,South,Greenspace,0,C,
AS028,MW015,South,Greenspace,0,C,
AS045,MW032,South,Greenspace,0,C,
AS062,MW049,South,Greenspace,10,C,
AS063,MW050,South,Greenspace,0,C,
AS064,MW051,South,Greenspace,1330,S,
AS065,MW052,South,Greenspace,412,S,
AS066,MW053,South,Greenspace,1060,S,
AS067,MW054,South,Greenspace,176,S,
AS068,MW055,South,Greenspace,282,S,
AS069,MW056,South,Greenspace,508,S,
AS070,MW057,South,Greenspace,624,C,
AS071,MW058,South,Greenspace,390,C,
AS072,MW059,South,Greenspace,264,C,
AS082,MW069,South,Greenspace,0,C,
AS087,MW074,South,Greenspace,209,C,
AS088,MW075,South,Greenspace,45,C,
AS089,MW076,South,Greenspace,70,C,
AS090,MW077,South,Greenspace,60,C,
AS091,MW078,South,Greenspace,50,C,
AS092,MW079,South,Greenspace,175,C,
AS093,MW080,South,Greenspace,800,C,
