Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u
C:\Users\sbrei\Downloads\test_software_urbindex\urb_ind_breitb_20201002_funkyformat\1\01.bmp;0;74.4014;96.7107;97.7659;959;906;811;684;631;437;332;295;238;176;93;65;65;63;49;21;21;20;0;181.291;180;31.175;31.2095;4;2;2;0;0;0;601;0;149;363;20;2703;609;370;375;44;2614;441;349;394;0;2666;435;0;594;0;2769;481
C:\Users\sbrei\Downloads\test_software_urbindex\urb_ind_breitb_20201002_funkyformat\1\01.bmp;1;69.2417;92.0989;98.2895;1067;1032;953;896;765;680;487;428;323;231;131;106;81;80;78;78;78;78;77;193.015;180;24.1553;27.4391;3;3;1;0;0;0;349;0;136;60;107;2870;671;325;36;41;2922;520;291;32;0;2911;610;0;205;0;2962;677
C:\Users\sbrei\Downloads\test_software_urbindex\urb_ind_breitb_20201002_funkyformat\1\01.bmp;2;57.1407;86.4891;89.1938;1065;987;918;879;811;685;520;491;368;273;222;54;2;0;0;0;0;0;0;183.305;195;21.6816;24.6355;1;1;1;0;0;0;0;0;6;2;0;3795;41;1;0;0;3842;1;0;0;0;3844;0;0;0;0;3844;0
C:\Users\sbrei\Downloads\test_software_urbindex\urb_ind_breitb_20201002_funkyformat\1\01.bmp;3;66.1137;97.2016;84.1532;1025;986;840;787;709;523;471;377;288;207;200;181;113;108;100;98;81;34;0;154.919;180;30.762;39.6926;4;4;3;0;0;0;0;0;2;0;0;3777;65;54;0;0;3782;8;44;0;0;3791;9;0;85;0;3712;47
C:\Users\sbrei\Downloads\test_software_urbindex\urb_ind_breitb_20201002_funkyformat\1\01.bmp;4;72.268;103.66;86.5419;902;748;655;621;551;509;423;329;279;235;154;150;134;131;92;75;0;0;0;148.109;168;29.2701;35.3908;2;2;1;0;0;0;0;0;21;297;0;2354;1172;55;276;0;2346;1167;71;305;0;2341;1127;0;1050;0;2070;724
C:\Users\sbrei\Downloads\test_software_urbindex\urb_ind_breitb_20201002_funkyformat\1\01.bmp;5;85.9394;102.85;108.048;863;745;618;565;399;321;270;182;181;169;163;159;158;141;112;107;107;75;75;192.391;240;45.1497;64.7303;1;1;1;0;0;0;24;0;427;939;40;1185;1253;430;1095;300;939;1080;726;1399;41;897;781;0;2433;0;734;677
C:\Users\sbrei\Downloads\test_software_urbindex\urb_ind_breitb_20201002_funkyformat\1\01.bmp;6;59.3915;87.9214;90.1514;1036;1010;925;810;686;607;465;320;182;110;86;85;82;66;48;48;48;28;0;183.559;195;21.9558;24.6718;5;2;2;0;0;0;9;0;155;4;18;3547;120;286;0;25;3481;52;297;0;0;3485;62;31;240;0;3481;92
C:\Users\sbrei\Downloads\test_software_urbindex\urb_ind_breitb_20201002_funkyformat\1\01.bmp;7;63.7024;93.2781;89.7586;1028;951;819;753;666;534;436;305;184;139;127;126;86;81;41;40;24;24;24;172.778;180;26.0854;27.0669;2;1;1;0;0;0;0;0;58;2;1;3546;237;79;0;0;3624;141;31;0;0;3691;122;0;11;0;3773;60
C:\Users\sbrei\Downloads\test_software_urbindex\urb_ind_breitb_20201002_funkyformat\1\01.bmp;8;63.7396;91.3306;90.0911;1017;974;913;830;739;593;407;296;179;117;93;82;68;52;11;11;11;11;0;177.675;193;25.111;29.4189;2;1;1;0;0;0;0;0;104;8;16;3633;83;209;24;0;3604;7;176;29;0;3626;13;14;173;0;3526;131
C:\Users\sbrei\Downloads\test_software_urbindex\urb_ind_breitb_20201002_funkyformat\1\01.bmp;9;60.8122;87.0965;89.1652;1042;993;882;760;683;534;439;272;214;181;156;109;64;34;0;0;0;0;0;182.93;195;24.7598;27.5459;0;0;0;0;0;0;389;0;20;11;0;3678;135;27;0;0;3685;132;0;0;0;3696;148;0;91;0;3751;2
