"Bin","Corridor","Greenspace","Percent_Corridor","Percent_Greenspace","Perc_Corr_Cumulative","Perc_Greensp_Cumulative"
"[0,50]",12,18,35.2941176470588,52.9411764705882,35.2941176470588,52.9411764705882
"(50,100]",2,2,5.88235294117647,5.88235294117647,41.1764705882353,58.8235294117647
"(100,150]",0,1,0,2.94117647058824,41.1764705882353,61.7647058823529
"(150,200]",2,2,5.88235294117647,5.88235294117647,47.0588235294118,67.6470588235294
"(200,250]",1,1,2.94117647058824,2.94117647058824,50,70.5882352941176
"(250,300]",3,2,8.8235294117647,5.88235294117647,58.8235294117647,76.4705882352941
"(300,350]",1,0,2.94117647058824,0,61.7647058823529,76.4705882352941
"(350,400]",1,1,2.94117647058824,2.94117647058824,64.7058823529412,79.4117647058823
"(400,450]",1,1,2.94117647058824,2.94117647058824,67.6470588235294,82.3529411764706
"(500,550]",2,1,5.88235294117647,2.94117647058824,73.5294117647059,85.2941176470588
"(550,600]",1,0,2.94117647058824,0,76.4705882352941,85.2941176470588
"(600,650]",2,1,5.88235294117647,2.94117647058824,82.3529411764706,88.2352941176471
"(750,800]",1,1,2.94117647058824,2.94117647058824,85.2941176470588,91.1764705882353
"(1.05e+03,1.1e+03]",1,1,2.94117647058824,2.94117647058824,88.235294117647,94.1176470588235
"(1.3e+03,1.35e+03]",2,2,5.88235294117647,5.88235294117647,94.1176470588235,100
"(2.15e+03,2.2e+03]",1,0,2.94117647058824,0,97.0588235294118,100
"(2.65e+03,2.7e+03]",1,0,2.94117647058824,0,100,100
