"","buildings_cells","vegetation_cells","roads_cells","buildings_labels","veg_labels","Urb_score","Pop_ID","City_dist","Transect_ID"
"1",32,65,33,0.81,1.65,-1.17377,"AS001",25.6072117851047,"South"
"2",3,94,32,0.39,1.94,-2.70149,"AS010",34.6919910922074,"Rural"
"3",2,95,20,0.34,1.95,-2.96424,"AS011",34.7223026333001,"Rural"
"4",6,89,23,0.41,1.89,-2.64756,"AS012",34.7648877145467,"Rural"
"5",2,96,27,0.33,1.96,-2.89103,"AS013",34.8714878570061,"Rural"
"6",18,73,33,0.6,1.71,-1.72441,"AS014",40.3551125073074,"Rural"
"7",53,33,71,1.12,1.33,0.799659,"AS015",40.3886832026213,"Rural"
"8",35,53,57,0.91,1.53,-0.368435,"AS016",40.3011356521538,"Rural"
"9",2,95,12,0.19,1.95,-3.19974,"AS017",48.9308160490192,"Rural"
"10",5,94,13,0.28,1.94,-3.04593,"AS018",48.7619062025806,"Rural"
"11",0,97,18,0.2,1.97,-3.18277,"AS019",48.9139503806648,"Rural"
"12",44,44,53,1.07,1.44,0.0619652,"AS002",24.987050922191,"South"
"13",5,92,16,0.3,1.92,-2.93189,"AS020",48.856938391392,"Rural"
"14",9,70,46,0.5,1.7,-1.67951,"AS021",45.0190640911002,"Rural"
"15",8,80,25,0.36,1.79,-2.37356,"AS022",35.701894221116,"Rural"
"16",1,98,13,0.15,1.98,-3.30879,"AS023",36.1577518602547,"Rural"
"17",69,15,81,1.63,1.11,2.10156,"AS024",22.044809923962,"South"
"18",51,45,65,1.18,1.45,0.4053,"AS025",25.2681118797278,"South"
"19",73,16,82,1.66,1.16,2.12016,"AS026",15.9369812417788,"South"
"20",68,29,87,1.62,1.29,1.74833,"AS027",11.3539911211033,"South"
"21",43,52,72,1.1,1.52,0.148848,"AS028",9.63737613958796,"South"
"22",45,50,62,1.13,1.49,0.113649,"AS029",13.9287929727584,"North"
"23",40,55,53,1,1.54,-0.328356,"AS003",25.4917782859607,"South"
"24",39,52,50,0.95,1.42,-0.230729,"AS030",41.19264328354,"Rural"
"25",37,42,55,0.92,1.4,-0.0445896,"AS031",41.5320035061599,"Rural"
"26",0,99,9,0.1,1.99,-3.44897,"AS032",53.4731891361251,"Rural"
"27",0,97,12,0.1,1.97,-3.34998,"AS033",55.4435483441203,"Rural"
"28",1,99,3,0.06,1.99,-3.55627,"AS034",52.7953944398004,"Rural"
"29",0,100,12,0.06,2,-3.45963,"AS035",57.0708592497744,"Rural"
"30",2,96,13,0.16,1.96,-3.23351,"AS036",57.965848752526,"Rural"
"31",1,92,20,0.32,1.91,-2.90157,"AS037",60.6799943238511,"Rural"
"32",93,7,99,1.9,1.07,3.09467,"AS038",8.85924904641448,"North"
"33",61,23,85,1.52,1.23,1.69829,"AS039",8.72565115733648,"North"
