to UTM,to Zone,Easting,Northing,Population,Latitude,Longitude,Pop_ID
17T 607999mE 4822824mN,17T,607999,4822824,MW001,43.550556,-79.663,AS001
17T 608721mE 4822799mN,17T,608721,4822799,MW002,43.550225,-79.654062,AS002
17T 607326mE 4824429mN,17T,607326,4824429,MW003,43.565106,-79.671002,AS003
17T 607084mE 4824140mN,17T,607084,4824140,MW003,43.562538,-79.674057,AS004
17T 606080mE 4824657mN,17T,606080,4824657,MW004,43.567334,-79.686386,AS005
17T 606250mE 4824845mN,17T,606250,4824845,MW004,43.569004,-79.684245,AS006
17T 606585mE 4824573mN,17T,606585,4824573,MW004,43.566504,-79.680149,AS007
17T 606613mE 4824620mN,17T,606613,4824620,MW004,43.566922,-79.679797,AS008
17T 606390mE 4824283mN,17T,606390,4824283,MW004,43.563919,-79.682622,AS009
17T 601265mE 4816362mN,17T,601265,4816362,MW005,43.493329,-79.747541,AS010
17T 601234mE 4816354mN,17T,601234,4816354,MW005,43.493262,-79.747925,AS011
17T 601223mE 4816293mN,17T,601223,4816293,MW005,43.492717,-79.748081,AS012
17T 601147mE 4816213mN,17T,601147,4816213,MW005,43.492005,-79.749026,AS013
17T 598659mE 4810251mN,17T,598659,4810251,MW006,43.438669,-79.780878,AS014
17T 598942mE 4809840mN,17T,598942,4809840,MW006,43.434924,-79.777459,AS015
17T 598951mE 4809968mN,17T,598951,4809968,MW006,43.436081,-79.777321,AS016
17T 588666mE 4809649mN,17T,588666,4809649,MW007,43.434493,-79.904435,AS017
17T 588840mE 4809687mN,17T,588840,4809687,MW007,43.434819,-79.902274,AS018
17T 588710mE 4809608mN,17T,588710,4809608,MW007,43.434125,-79.903894,AS019
17T 588832mE 4809519mN,17T,588832,4809519,MW007,43.433302,-79.902403,AS020
17T 591676mE 4812239mN,17T,591676,4812239,MW008,43.457451,-79.866815,AS021
17T 598667mE 4818871mN,17T,598667,4818871,MW009,43.516263,-79.77922,AS022
17T 597653mE 4819917mN,17T,597653,4819917,MW010,43.525816,-79.791571,AS023
17T 609909mE 4827192mN,17T,609909,4827192,MW011,43.589594,-79.638468,AS024
17T 609447mE 4821073mN,17T,609447,4821073,MW012,43.534585,-79.645432,AS025
17T 615350mE 4830148mN,17T,615350,4830148,MW013,43.615384,-79.570454,AS026
17T 619238mE 4833904mN,17T,619238,4833904,MW014,43.648581,-79.521463,AS027
17T 620913mE 4835334mN,17T,620913,4835334,MW015,43.661177,-79.500382,AS028
17T 617950mE 4840921mN,17T,617950,4840921,MW016,43.711948,-79.535894,AS029
17T 593408mE 4817107mN,17T,593408,4817107,MW017,43.501061,-79.844567,AS030
17T 593990mE 4815232mN,17T,593990,4815232,MW018,43.484111,-79.837702,AS031
17T 584762mE 4807323mN,17T,584762,4807323,MW019,43.41401,-79.953028,AS032
