Picture_name;Cells_where_building_label=2;Cells_where_vegetation_label=2;Cells_where_road_label=1;Avg_building_labels;Avg_vegetation_labels;PCA_value;Location_name
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\1\01.bmp;32;65;33;0.81;1.65;-1.17377;AS001
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\10\01.bmp;3;94;32;0.39;1.94;-2.70149;AS010
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\11\01.bmp;2;95;20;0.34;1.95;-2.96424;AS011
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\12\01.bmp;6;89;23;0.41;1.89;-2.64756;AS012
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\13\01.bmp;2;96;27;0.33;1.96;-2.89103;AS013
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\14\01.bmp;18;73;33;0.6;1.71;-1.72441;AS014
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\15\01.bmp;53;33;71;1.12;1.33;0.799659;AS015
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\16\01.bmp;35;53;57;0.91;1.53;-0.368435;AS016
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\17\01.bmp;2;95;12;0.19;1.95;-3.19974;AS017
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\18\01.bmp;5;94;13;0.28;1.94;-3.04593;AS018
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\19\01.bmp;0;97;18;0.2;1.97;-3.18277;AS019
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\2\01.bmp;44;44;53;1.07;1.44;0.0619652;AS002
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\20\01.bmp;5;92;16;0.3;1.92;-2.93189;AS020
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\21\01.bmp;9;70;46;0.5;1.7;-1.67951;AS021
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\22\01.bmp;8;80;25;0.36;1.79;-2.37356;AS022
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\23\01.bmp;1;98;13;0.15;1.98;-3.30879;AS023
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\24\01.bmp;69;15;81;1.63;1.11;2.10156;AS024
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\25\01.bmp;51;45;65;1.18;1.45;0.4053;AS025
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\26\01.bmp;73;16;82;1.66;1.16;2.12016;AS026
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\27\01.bmp;68;29;87;1.62;1.29;1.74833;AS027
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\28\01.bmp;43;52;72;1.1;1.52;0.148848;AS028
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\29\01.bmp;45;50;62;1.13;1.49;0.113649;AS029
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\3\01.bmp;40;55;53;1;1.54;-0.328356;AS003
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\30\01.bmp;39;52;50;0.95;1.42;-0.230729;AS030
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\31\01.bmp;37;42;55;0.92;1.4;-0.0445896;AS031
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\32\01.bmp;0;99;9;0.1;1.99;-3.44897;AS032
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\33\01.bmp;0;97;12;0.1;1.97;-3.34998;AS033
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\34\01.bmp;1;99;3;0.06;1.99;-3.55627;AS034
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\35\01.bmp;0;100;12;0.06;2;-3.45963;AS035
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\36\01.bmp;2;96;13;0.16;1.96;-3.23351;AS036
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\37\01.bmp;1;92;20;0.32;1.91;-2.90157;AS037
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\38\01.bmp;93;7;99;1.9;1.07;3.09467;AS038
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\39\01.bmp;61;23;85;1.52;1.23;1.69829;AS039
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\4\01.bmp;32;63;52;0.89;1.63;-0.769415;AS004
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\40\01.bmp;52;37;75;1.23;1.37;0.822976;AS040
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\41\01.bmp;64;21;72;1.56;1.21;1.62646;AS041
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\42\01.bmp;69;24;74;1.48;1.17;1.68161;AS042
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\43\01.bmp;51;44;90;1.35;1.44;0.942832;AS043
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\44\01.bmp;63;18;88;1.48;1.18;1.87618;AS044
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\45\01.bmp;70;21;86;1.63;1.21;1.9821;AS045
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\46\01.bmp;3;95;11;0.15;1.95;-3.23043;AS046
C:\Users\EvoEcoLab\Documents\DMS\UrbIndex_2020\urb_ind_breitb_20201002_funkyformat\47\01.bmp;0;99;9;0.05;1.99;-3.48661;AS047
