"","Patch_ID","Year","Average_Pollinia","City_dist","Transect_ID","Peduncles","Height_July","Area_sqm_18","Plants_present_2018","Height_Sept","Viable_Pods","Total_Pods","nPlants","Urb_score","Average_pod_length","density_sqm_18"
"1","MW001","2018",1.58888888888889,25.6072117851047,"South",10.6,97.8,15,30,97.8,14.8,15.2,5,-1.17377,NA,0.5
"2","MW001","2019",0.177777777777778,25.6072117851047,"South",4.4,86.2,15,30,68,6.2,6.8,5,-1.17377,9,0.5
"3","MW002","2018",1.37777777777778,24.987050922191,"South",9.6,91.4,10,22,91.4,12.2,12.2,5,0.0619652,NA,0.454545454545455
"4","MW002","2019",0.711111111111111,24.987050922191,"South",11,115.5,10,22,121.2,16.8,17.6,5,0.0619652,7.35666666666667,0.454545454545455
"5","MW003","2018",0.855555555555556,25.6621338359759,"South",12,143.2,3,22,143.2,17.4,18,10,-0.5488855,NA,0.136363636363636
"6","MW003","2019",1.11111111111111,25.6621338359759,"South",10.6,133.8,3,22,137,14.6,8.3,10,-0.5488855,9.48666666666667,0.136363636363636
"7","MW004","2018",1.61111111111111,26.2825772004857,"South",8,91.8,20,19.0454545454545,91.8,12.8,12.8,22,-0.9282644,NA,1.05011933174224
"8","MW004","2019",0.933333333333333,26.2825772004857,"South",9.4,88.8,20,19.0454545454545,111,15.8,4.5,22,-0.9282644,8.66666666666667,1.05011933174224
"9","MW005","2018",0.858974358974359,34.7626673242651,"Rural",10.2,103.2,9,22.25,103.2,16.8,17.4,20,-2.80108,NA,0.404494382022472
"10","MW005","2019",1.13333333333333,34.7626673242651,"Rural",NA,101.4,9,22.25,NA,NA,1,20,-2.80108,NA,0.404494382022472
"11","MW006","2018",0.978632478632479,40.3483104540275,"Rural",10.6,123.2,300,16.6666666666667,123.2,14,14.4,15,-0.431062,NA,18
"12","MW006","2019",1.46666666666667,40.3483104540275,"Rural",10.6,94.8,300,16.6666666666667,113.6,11.8,4.6,15,-0.431062,10.05,18
