"","Year","Pop_ID","Patch_ID","Plant_Num","Pollinia_1_1","Pollinia_1_2","Pollinia_1_3","Pollinia_2_1","Pollinia_2_2","Pollinia_2_3","Pollinia_3_1","Pollinia_3_2","Pollinia_3_3","Average_Pollinia","Height_July","Pop_Age_Stage","Date_Found","Date_Found_365","Ramets","Surveyor","Notes","Latitude","Longitude","Area_sq_m_2018","Plants_present_2018","City_dist","Transect_ID","Date","Height_Sept","Viable_Pods","Aborted_Pods","Total_Pods","Peduncles","Collected_pod_length","OPodL1","OPodL2","OPodL3","OPodL4","OPodL5","OPodL6","OPodL7","OPodL8","OPodL9","OPodL10","OPodL11","OPodL12","OPodL13","OPodL14","OPodL15","OPodL16","OPodL17","OPodL18","OPodL19","OPodL20","Collected_pod_width","Collected_pod_seed_number","Collected_pod_seed_weight","Notes_PodCollecting","Urb_score","Average_pod_length","pods_per_ped"
"1","2019","AS001","MW001","1",0,0,0,0,0,0,0,0,0,0,78,"Middle-Late","7/18/2019","199",1,"Sophie","Milkweed removed from CCT garden. Data from patch next to Deerfield Hall (between theatre and DH)- still within technical population limit of 500m apart. Patch was 100 sq m and saw about 50 plants.",43.550556,-79.663,15,30,25.6072117851047,"South","9/10/2019",34,15,4,19,11,10,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,">3 m between plants",-1.17377,8,1.72727272727273
"2","2019","AS001","MW001","2",0,0,0,0,0,0,0,0,0,0,83,"Middle-Late","7/18/2019","199",1,"Sophie","Milkweed removed from CCT garden. Data from patch next to Deerfield Hall (between theatre and DH)- still within technical population limit of 500m apart. Patch was 100 sq m and saw about 50 plants.",43.550556,-79.663,15,30,25.6072117851047,"South","9/10/2019",67,2,1,2,2,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,">3 m between plants",-1.17377,NA,1
"3","2019","AS001","MW001","3",0,0,0,0,0,0,0,0,0,0,89,"Middle-Late","7/18/2019","199",1,"Sophie","Milkweed removed from CCT garden. Data from patch next to Deerfield Hall (between theatre and DH)- still within technical population limit of 500m apart. Patch was 100 sq m and saw about 50 plants.",43.550556,-79.663,15,30,25.6072117851047,"South","9/10/2019",62,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">3 m between plants",-1.17377,NA,1
"4","2019","AS001","MW001","4",0,0,1,3,0,0,0,1,0,0.555555555555556,107,"Middle-Late","7/18/2019","199",1,"Sophie","Milkweed removed from CCT garden. Data from patch next to Deerfield Hall (between theatre and DH)- still within technical population limit of 500m apart. Patch was 100 sq m and saw about 50 plants.",43.550556,-79.663,15,30,25.6072117851047,"South","9/10/2019",97,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">3 m between plants",-1.17377,NA,1
"5","2019","AS001","MW001","5",0,1,0,NA,NA,NA,NA,NA,NA,0.333333333333333,74,"Middle-Late","7/18/2019","199",1,"Sophie","Milkweed removed from CCT garden. Data from patch next to Deerfield Hall (between theatre and DH)- still within technical population limit of 500m apart. Patch was 100 sq m and saw about 50 plants.",43.550556,-79.663,15,30,25.6072117851047,"South","9/10/2019",80,12,1,11,7,9.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,">3 m between plants",-1.17377,10,1.57142857142857
"6","2019","AS002","MW002","1",0,1,0,1,1,0,1,0,0,0.444444444444444,87,"Middle","7/7/2019","188",2,"Vanessa","Lots still along the hill.",43.550225,-79.654062,10,22,24.987050922191,"South","9/26/2019",111,17,1,18,11,7,6.4,6.4,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.233,NA,NA,"Plants >3m apart",0.0619652,6.06666666666667,1.63636363636364
"7","2019","AS002","MW002","2",0,1,2,0,1,0,0,0,0,0.444444444444444,115.5,"Middle","7/7/2019","188",1,"Vanessa","Lots still along the hill.",43.550225,-79.654062,10,22,24.987050922191,"South","9/26/2019",116,18,2,20,13,7.8,6,8,8,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.409,NA,NA,"Plants >3m apart",0.0619652,7.35,1.53846153846154
"8","2019","AS002","MW002","3",1,0,0,0,1,0,0,0,1,0.333333333333333,134,"Middle","7/7/2019","188",1,"Vanessa","Lots still along the hill.",43.550225,-79.654062,10,22,24.987050922191,"South","9/26/2019",145,20,1,21,11,8.6,8.4,7.6,10.2,8,9,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.791,NA,NA,"Plants >3m apart",0.0619652,8.83333333333333,1.90909090909091
"9","2019","AS002","MW002","4",1,1,1,1,0,0,3,2,0,1,125,"Middle","7/7/2019","188",1,"Vanessa","Lots still along the hill.",43.550225,-79.654062,10,22,24.987050922191,"South","9/26/2019",126,17,1,18,11,8,7,6.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.418,NA,NA,"Plants >3m apart",0.0619652,6.93333333333333,1.63636363636364
"10","2019","AS002","MW002","5",1,2,2,3,2,2,0,0,0,1.33333333333333,116,"Middle","7/7/2019","188",1,"Albert","Lots still along the hill.",43.550225,-79.654062,10,22,24.987050922191,"South","9/26/2019",108,12,1,11,9,8,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.198,NA,NA,"Plants >3m apart",0.0619652,7.6,1.22222222222222
"11","2019","AS003","MW003","1",1,0,1,0,3,1,0,2,2,1.11111111111111,125,"Early-Late","7/12/2019","193",1,"Vanessa",NA,43.565106,-79.671002,3,18,25.4917782859607,"South","9/24/2019",111,12,1,11,11,11,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.039,NA,NA,"All measurements taken from AS003.",-0.5488855,8.8,1
"12","2019","AS003","MW003","2",1,1,0,1,1,2,2,1,1,1.11111111111111,124,"Early-Late","7/12/2019","193",1,"Vanessa",NA,43.565106,-79.671002,3,18,25.4917782859607,"South","9/24/2019",86,12,1,11,11,9,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.684,NA,NA,"All measurements taken from AS003.",-0.5488855,8.6,1
"13","2019","AS003","MW003","3",3,4,2,1,1,1,1,0,1,1.55555555555556,121,"Early-Late","7/12/2019","193",1,"Vanessa",NA,43.565106,-79.671002,3,18,25.4917782859607,"South","9/24/2019",149,15,4,19,11,11.2,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.37,NA,NA,"All measurements taken from AS003.",-0.5488855,10.5,1.72727272727273
"14","2019","AS003","MW003","4",2,2,1,1,0,1,0,1,0,0.888888888888889,143,"Early-Late","7/12/2019","193",1,"Vanessa",NA,43.565106,-79.671002,3,18,25.4917782859607,"South","9/24/2019",172,17,1,18,9,9.6,10,10,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.805,NA,NA,"All measurements taken from AS003.",-0.5488855,9.73333333333333,2
"15","2019","AS003","MW003","5",3,1,2,0,0,1,1,0,0,0.888888888888889,156,"Early-Late","7/12/2019","193",1,"Vanessa",NA,43.565106,-79.671002,3,18,25.4917782859607,"South","9/24/2019",167,17,2,19,11,10.6,10,10,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.289,NA,NA,"All measurements taken from AS003.",-0.5488855,9.8,1.72727272727273
"16","2019","AS004","MW003","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vanessa","Checked these as well but none were flowering.",43.562538,-79.674057,25,26,25.832489385991,"South","9/24/2019",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All measurements taken from AS003.",-0.5488855,NA,NA
