"","Patch_ID","Year","Average_Pollinia","City_dist","Transect_ID","Peduncles","Height_July","Area_sqm_18","Plants_present_2018","Height_Sept","Viable_Pods","Total_Pods","nPlants","Urb_score","Average_pod_length","density_sqm_18","pods_per_ped"
"1","MW001","2018",1.58888888888889,25.6072117851047,"South",10.6,97.8,15,30,97.8,5.75,5.75,5,-1.17377,NA,0.5,0.542452830188679
"2","MW001","2019",0.177777777777778,25.6072117851047,"South",4.4,86.2,15,30,68,1.2,1.6,5,-1.17377,9,0.5,0.363636363636364
"3","MW002","2018",1.37777777777778,24.987050922191,"South",9.6,91.4,10,22,91.4,4.6,4.6,5,0.0619652,NA,0.454545454545455,0.479166666666667
"4","MW002","2019",0.711111111111111,24.987050922191,"South",11,115.5,10,22,121.2,4.4,4.6,5,0.0619652,7.35666666666667,0.454545454545455,0.418181818181818
"5","MW003","2018",0.855555555555556,25.6621338359759,"South",12,143.2,3,22,143.2,5.2,5.2,10,-0.5488855,NA,0.136363636363636,0.433333333333333
"6","MW003","2019",1.11111111111111,25.6621338359759,"South",10.6,133.8,3,22,137,3,1.8,10,-0.5488855,9.48666666666667,0.136363636363636,0.169811320754717
"7","MW004","2018",1.61111111111111,26.2825772004857,"South",8,91.8,20,19.0454545454545,91.8,3.4,3.4,22,-0.9282644,NA,1.05011933174224,0.425
"8","MW004","2019",0.933333333333333,26.2825772004857,"South",9.4,88.8,20,19.0454545454545,111,3.6,0.818181818181818,22,-0.9282644,8.66666666666667,1.05011933174224,0.0870406189555126
"9","MW005","2018",0.858974358974359,34.7626673242651,"Rural",10.2,103.2,9,22.25,103.2,4.4,4.4,20,-2.80108,NA,0.404494382022472,0.431372549019608
"10","MW005","2019",1.13333333333333,34.7626673242651,"Rural",NA,101.4,9,22.25,NA,NA,0,20,-2.80108,NA,0.404494382022472,NA
"11","MW006","2018",0.978632478632479,40.3483104540275,"Rural",10.6,123.2,300,16.6666666666667,123.2,5.8,5.8,15,-0.431062,NA,18,0.547169811320755
"12","MW006","2019",1.46666666666667,40.3483104540275,"Rural",10.6,94.8,300,16.6666666666667,113.6,2.6,0.866666666666667,15,-0.431062,10.05,18,0.0817610062893082
"13","MW007","2018",1.84583333333333,48.8667863044043,"Rural",9.8,117.8,1,28.2666666666667,117.8,7.8,7.8,15,-3.0900825,NA,0.035377358490566,0.795918367346939
"14","MW007","2019",2.42222222222222,48.8667863044043,"Rural",10.2,129.4,1,28.2666666666667,113,5.4,1.8,15,-3.0900825,9.39166666666667,0.035377358490566,0.176470588235294
"15","MW008","2018",1.33333333333333,45.0190640911002,"Rural",4.4,103.6,21,22,103.6,1.6,1.6,5,-1.67951,NA,0.954545454545455,0.363636363636364
"16","MW008","2019",0.977777777777778,45.0190640911002,"Rural",NA,102.2,21,22,NA,NA,0,5,-1.67951,NA,0.954545454545455,NA
"17","MW009","2018",NA,35.701894221116,"Rural",4.2,66.4,21,22,66.4,1.4,1.4,5,-2.37356,NA,0.954545454545455,0.333333333333333
"18","MW009","2019",0.788888888888889,35.701894221116,"Rural",NA,96.9,21,22,NA,NA,0,5,-2.37356,NA,0.954545454545455,NA
"19","MW011","2018",NA,22.044809923962,"South",12.2,133.2,1000,3,133.2,4,4,5,2.10156,NA,333.333333333333,0.327868852459016
"20","MW011","2019",1.55555555555556,22.044809923962,"South",12,101.6,1000,3,144.6,4.2,4.2,5,2.10156,10.2446666666667,333.333333333333,0.35
"21","MW012","2018",1.86666666666667,25.2681118797278,"South",9.6,116.4,20,10,116.4,7.4,7.4,5,0.4053,NA,2,0.770833333333333
"22","MW012","2019",0.822222222222222,25.2681118797278,"South",9.6,119.86,20,10,117.2,5,5,5,0.4053,8.1487619047619,2,0.520833333333333
"23","MW013","2018",1.94444444444444,15.9369812417788,"South",10,104,6,10,104,8,8,5,2.12016,NA,0.6,0.8
"24","MW013","2019",NA,15.9369812417788,"South",8.2,NA,6,10,105,4.4,4.8,5,2.12016,9.07542857142857,0.6,0.585365853658537
"25","MW014","2018",0.666666666666667,11.3539911211033,"South",7.6,83.8,4000,36,83.8,2,2,5,1.74833,NA,111.111111111111,0.263157894736842
"26","MW014","2019",0.822222222222222,11.3539911211033,"South",9.6,98.8,4000,36,98.8,4,4,5,1.74833,10.0773333333333,111.111111111111,0.416666666666667
"27","MW015","2018",NA,9.63737613958796,"South",6.4,115,12,22,115,4,4,5,0.148848,NA,0.545454545454545,0.625
"28","MW015","2019",0.811111111111111,9.63737613958796,"South",5.8,99.5,12,22,90.8,5,5,5,0.148848,8.54666666666667,0.545454545454545,0.862068965517241
"29","MW016","2018",1.5,13.9287929727584,"North",6.6,94.8,100,10,94.8,1.4,1.4,5,0.113649,NA,10,0.212121212121212
"30","MW016","2019",2.08888888888889,13.9287929727584,"North",NA,111.4,100,10,NA,NA,0,5,0.113649,NA,10,NA
"31","MW017","2018",NA,41.19264328354,"Rural",10,114.6,8000,41,114.6,5.4,5.4,5,-0.230729,NA,195.121951219512,0.54
"32","MW017","2019",NA,41.19264328354,"Rural",7,NA,8000,41,95.8,2.4,2.4,5,-0.230729,9.43333333333333,195.121951219512,0.342857142857143
"33","MW018","2018",1.625,41.5320035061599,"Rural",8.6,100.4,12,26,100.4,2.6,2.6,5,-0.0445896,NA,0.461538461538462,0.302325581395349
"34","MW018","2019",0.966666666666667,41.5320035061599,"Rural",NA,80.9,12,26,NA,NA,0,5,-0.0445896,NA,0.461538461538462,NA
"35","MW019","2018",1.67777777777778,53.4731891361251,"Rural",9.2,108.4,18,18,108.4,1.6,1.6,5,-3.44897,NA,1,0.173913043478261
