"","Patch_ID","Year","Average_Pollinia","City_dist.x","Transect_ID","Peduncles","Height_July","Area_sqm_18","Plants_present_2018","Height_Sept","Viable_Pods","Total_Pods","nPlants","Average_pod_length","density_sqm_18","X","buildings_cells","vegetation_cells","roads_cells","buildings_labels","veg_labels","Urb_score","Pop_ID","City_dist.y","Transect"
"1","MW001","2018",1.58888888888889,25.6072117851047,"South",10.6,97.8,15,30,97.8,5.75,5.75,5,NA,0.5,1,32,65,33,0.81,1.65,-1.17377,"AS001",25.60721179,"South"
"2","MW001","2019",0.177777777777778,25.6072117851047,"South",4.4,86.2,15,30,68,1.2,1.6,5,9,0.5,1,32,65,33,0.81,1.65,-1.17377,"AS001",25.60721179,"South"
"3","MW002","2018",1.37777777777778,24.987050922191,"South",9.6,91.4,10,22,91.4,4.6,4.6,5,NA,0.454545454545455,2,44,44,53,1.07,1.44,0.0619652,"AS002",24.98705092,"South"
"4","MW002","2019",0.711111111111111,24.987050922191,"South",11,115.5,10,22,121.2,4.4,4.6,5,7.35666666666667,0.454545454545455,2,44,44,53,1.07,1.44,0.0619652,"AS002",24.98705092,"South"
"5","MW003","2018",0.855555555555556,25.6621338359759,"South",12,143.2,3,22,143.2,5.2,5.2,10,NA,0.136363636363636,3,36,59,52.5,0.945,1.585,-0.5488855,"AS003",25.66213384,"South"
"6","MW003","2019",1.11111111111111,25.6621338359759,"South",10.6,133.8,3,22,137,3,1.8,10,9.48666666666667,0.136363636363636,3,36,59,52.5,0.945,1.585,-0.5488855,"AS003",25.66213384,"South"
"7","MW004","2018",1.61111111111111,26.2825772004857,"South",8,91.8,20,19.0454545454545,91.8,3.4,3.4,22,NA,1.05011933174224,4,26,62.6,49,0.84,1.624,-0.9282644,"AS005",26.285881226,"South"
"8","MW004","2019",0.933333333333333,26.2825772004857,"South",9.4,88.8,20,19.0454545454545,111,3.6,0.818181818181818,22,8.66666666666667,1.05011933174224,4,26,62.6,49,0.84,1.624,-0.9282644,"AS005",26.285881226,"South"
"9","MW005","2018",0.858974358974359,34.7626673242651,"Rural",10.2,103.2,9,22.25,103.2,4.4,4.4,20,NA,0.404494382022472,5,3.25,93.5,25.5,0.3675,1.935,-2.80108,"AS010",34.7626673225,"Rural"
"10","MW006","2018",0.978632478632479,40.3483104540275,"Rural",10.6,123.2,300,16.6666666666667,123.2,5.8,5.8,15,NA,18,6,35.3333333333333,53,53.6666666666667,0.876666666666667,1.52333333333333,-0.431062,"AS014",40.3483104533333,"Rural"
"11","MW006","2019",1.46666666666667,40.3483104540275,"Rural",10.6,94.8,300,16.6666666666667,113.6,2.6,0.866666666666667,15,10.05,18,6,35.3333333333333,53,53.6666666666667,0.876666666666667,1.52333333333333,-0.431062,"AS014",40.3483104533333,"Rural"
"12","MW007","2018",1.84583333333333,48.8667863044043,"Rural",9.8,117.8,1,28.2666666666667,117.8,7.8,7.8,15,NA,0.035377358490566,7,3,94.5,14.75,0.2425,1.945,-3.0900825,"AS017",48.865902755,"Rural"
"13","MW007","2019",2.42222222222222,48.8667863044043,"Rural",10.2,129.4,1,28.2666666666667,113,5.4,1.8,15,9.39166666666667,0.035377358490566,7,3,94.5,14.75,0.2425,1.945,-3.0900825,"AS017",48.865902755,"Rural"
"14","MW008","2018",1.33333333333333,45.0190640911002,"Rural",4.4,103.6,21,22,103.6,1.6,1.6,5,NA,0.954545454545455,8,9,70,46,0.5,1.7,-1.67951,"AS021",45.01906409,"Rural"
"15","MW009","2018",NA,35.701894221116,"Rural",4.2,66.4,21,22,66.4,1.4,1.4,5,NA,0.954545454545455,9,8,80,25,0.36,1.79,-2.37356,"AS022",35.70189422,"Rural"
"16","MW011","2018",NA,22.044809923962,"South",12.2,133.2,1000,3,133.2,4,4,5,NA,333.333333333333,11,69,15,81,1.63,1.11,2.10156,"AS024",22.04480992,"South"
"17","MW011","2019",1.55555555555556,22.044809923962,"South",12,101.6,1000,3,144.6,4.2,4.2,5,10.2446666666667,333.333333333333,11,69,15,81,1.63,1.11,2.10156,"AS024",22.04480992,"South"
"18","MW012","2018",1.86666666666667,25.2681118797278,"South",9.6,116.4,20,10,116.4,7.4,7.4,5,NA,2,12,51,45,65,1.18,1.45,0.4053,"AS025",25.26811188,"South"
"19","MW012","2019",0.822222222222222,25.2681118797278,"South",9.6,119.86,20,10,117.2,5,5,5,8.1487619047619,2,12,51,45,65,1.18,1.45,0.4053,"AS025",25.26811188,"South"
"20","MW013","2018",1.94444444444444,15.9369812417788,"South",10,104,6,10,104,8,8,5,NA,0.6,13,73,16,82,1.66,1.16,2.12016,"AS026",15.93698124,"South"
"21","MW013","2019",NA,15.9369812417788,"South",8.2,NA,6,10,105,4.4,4.8,5,9.07542857142857,0.6,13,73,16,82,1.66,1.16,2.12016,"AS026",15.93698124,"South"
"22","MW014","2018",0.666666666666667,11.3539911211033,"South",7.6,83.8,4000,36,83.8,2,2,5,NA,111.111111111111,14,68,29,87,1.62,1.29,1.74833,"AS027",11.35399112,"South"
"23","MW014","2019",0.822222222222222,11.3539911211033,"South",9.6,98.8,4000,36,98.8,4,4,5,10.0773333333333,111.111111111111,14,68,29,87,1.62,1.29,1.74833,"AS027",11.35399112,"South"
"24","MW015","2018",NA,9.63737613958796,"South",6.4,115,12,22,115,4,4,5,NA,0.545454545454545,15,43,52,72,1.1,1.52,0.148848,"AS028",9.63737614,"South"
"25","MW015","2019",0.811111111111111,9.63737613958796,"South",5.8,99.5,12,22,90.8,5,5,5,8.54666666666667,0.545454545454545,15,43,52,72,1.1,1.52,0.148848,"AS028",9.63737614,"South"
"26","MW016","2018",1.5,13.9287929727584,"North",6.6,94.8,100,10,94.8,1.4,1.4,5,NA,10,16,45,50,62,1.13,1.49,0.113649,"AS029",13.92879297,"North"
"27","MW017","2018",NA,41.19264328354,"Rural",10,114.6,8000,41,114.6,5.4,5.4,5,NA,195.121951219512,17,39,52,50,0.95,1.42,-0.230729,"AS030",41.19264328,"Rural"
"28","MW017","2019",NA,41.19264328354,"Rural",7,NA,8000,41,95.8,2.4,2.4,5,9.43333333333333,195.121951219512,17,39,52,50,0.95,1.42,-0.230729,"AS030",41.19264328,"Rural"
"29","MW018","2018",1.625,41.5320035061599,"Rural",8.6,100.4,12,26,100.4,2.6,2.6,5,NA,0.461538461538462,18,37,42,55,0.92,1.4,-0.0445896,"AS031",41.53200351,"Rural"
"30","MW019","2018",1.67777777777778,53.4731891361251,"Rural",9.2,108.4,18,18,108.4,1.6,1.6,5,NA,1,19,0,99,9,0.1,1.99,-3.44897,"AS032",53.47318914,"Rural"
"31","MW019","2019",1.43333333333333,53.4731891361251,"Rural",12.2,130.6,18,18,128.4,1,1,5,NA,1,19,0,99,9,0.1,1.99,-3.44897,"AS032",53.47318914,"Rural"
"32","MW020","2018",3.4,55.4435483441203,"Rural",10.8,122,2400,37,122,1.8,1.8,5,NA,64.8648648648649,20,0,97,12,0.1,1.97,-3.34998,"AS033",55.44354834,"Rural"
"33","MW020","2019",3.12222222222222,55.4435483441203,"Rural",9.8,117,2400,37,85.6,1.8,1.8,5,9.63333333333333,64.8648648648649,20,0,97,12,0.1,1.97,-3.34998,"AS033",55.44354834,"Rural"
"34","MW021","2018",2.66666666666667,52.7953944398004,"Rural",9.8,120.8,1500,37,120.8,3.2,3.2,5,NA,40.5405405405405,21,1,99,3,0.06,1.99,-3.55627,"AS034",52.79539444,"Rural"
"35","MW021","2019",2.17777777777778,52.7953944398004,"Rural",10.2,108.2,1500,37,115.4,2.6,2.6,5,10.375,40.5405405405405,21,1,99,3,0.06,1.99,-3.55627,"AS034",52.79539444,"Rural"
"36","MW023","2018",NA,57.965848752526,"Rural",2.2,85.2,600,18,85.2,0.6,0.6,5,NA,33.3333333333333,23,2,96,13,0.16,1.96,-3.23351,"AS036",57.96584875,"Rural"
"37","MW023","2019",NA,57.965848752526,"Rural",10,NA,600,18,76.8,2,2,5,9.35,33.3333333333333,23,2,96,13,0.16,1.96,-3.23351,"AS036",57.96584875,"Rural"
"38","MW026","2018",NA,8.72565115733648,"North",3.8,68.8,160,40,68.8,1.4,1.4,5,NA,4,26,61,23,85,1.52,1.23,1.69829,"AS039",8.725651157,"North"
"39","MW026","2019",0.742222222222222,8.72565115733648,"North",8.2,92.7,160,40,91.6,5,5,5,9.3725,4,26,61,23,85,1.52,1.23,1.69829,"AS039",8.725651157,"North"
"40","MW027","2018",2,9.38480336002964,"North",6,80.4,48,37,80.4,3.2,3.2,5,NA,1.2972972972973,27,52,37,75,1.23,1.37,0.822976,"AS040",9.38480336,"North"
"41","MW027","2019",NA,9.38480336002964,"North",2.4,NA,48,37,51.6,0,0,5,0,1.2972972972973,27,52,37,75,1.23,1.37,0.822976,"AS040",9.38480336,"North"
"42","MW028","2018",NA,9.18866419885103,"North",3.6,85.6,4000,15,85.6,1.8,1.8,5,NA,266.666666666667,28,64,21,72,1.56,1.21,1.62646,"AS041",9.188664199,"North"
"43","MW028","2019",NA,9.18866419885103,"North",10.8,NA,4000,15,106,5.8,5.8,5,8.542,266.666666666667,28,64,21,72,1.56,1.21,1.62646,"AS041",9.188664199,"North"
