Year,Pop_ID,Patch_ID,Plant_Num,Latitude,Longitude,Area_sq_m_2018,Plants_present_2018,City_dist,Transect_ID,Date,Height,Viable_Pods Produced,Aborted_Pods,Peduncles,Collected_pod_length,Other_pod_lengths,Collected_pod_width,Collected_pod_seed_number,Collected_pod_seed_weight,Notes
2019,AS001,MW001,1,43.550556,-79.663,15,40,15.89,South,9/10/2019,34,3,2,5,10,"7, 9",3.4,,,>3 m between plants
2019,AS001,MW001,2,43.550556,-79.663,15,40,15.89,South,9/10/2019,67,1,0,1,9.5,NA,2.6,,,>3 m between plants
2019,AS001,MW001,3,43.550556,-79.663,15,40,15.89,South,9/10/2019,62,0,0,0,NA,NA,NA,,,>3 m between plants
2019,AS001,MW001,4,43.550556,-79.663,15,40,15.89,South,9/10/2019,97,0,0,0,NA,NA,NA,,,>3 m between plants
2019,AS001,MW001,5,43.550556,-79.663,15,40,15.89,South,9/10/2019,80,2,0,2,9.5,10,3,,,>3 m between plants
2019,AS002,MW002,1,43.550225,-79.654062,10,25,15.51,South,9/26/2019,111,4,0,5,7,"6.4,6.4,5.4",2.233,,,Plants >3m apart
2019,AS002,MW002,2,43.550225,-79.654062,10,25,15.51,South,9/26/2019,116,5,1,7,7.8,"6,8,8,7.4",2.409,,,Plants >3m apart
2019,AS002,MW002,3,43.550225,-79.654062,10,25,15.51,South,9/26/2019,145,7,0,5,8.6,"8.4,7.6,10.2,8,9,9.8",2.791,,,Plants >3m apart
2019,AS002,MW002,4,43.550225,-79.654062,10,25,15.51,South,9/26/2019,126,4,0,5,8,"7,6.8,7",2.418,,,Plants >3m apart
2019,AS002,MW002,5,43.550225,-79.654062,10,25,15.51,South,9/26/2019,108,2,0,3,8,7.6,2.198,,,Plants >3m apart
2019,AS003,MW003,1,43.565106,-79.671002,3,20,15.82,South,9/24/2019,111,2,0,5,11,8.8,3.039,,,All measurements taken from AS003.
2019,AS003,MW003,2,43.565106,-79.671002,3,20,15.82,South,9/24/2019,86,2,0,5,9,8.6,2.684,,,All measurements taken from AS003.
2019,AS003,MW003,3,43.565106,-79.671002,3,20,15.82,South,9/24/2019,149,3,2,5,11.2,"10,11",3.37,,,All measurements taken from AS003.
2019,AS003,MW003,4,43.565106,-79.671002,3,20,15.82,South,9/24/2019,172,4,0,3,9.6,"10,10,9.2",2.805,,,All measurements taken from AS003.
2019,AS003,MW003,5,43.565106,-79.671002,3,20,15.82,South,9/24/2019,167,4,1,5,10.6,"10,10,9.4",3.289,,,All measurements taken from AS003.
2019,AS004,MW003,1,43.562538,-79.674057,25,30,16.03,South,9/24/2019,x,x,x,x,x,x,x,x,x,All measurements taken from AS003.
2019,AS004,MW003,2,43.562538,-79.674057,25,30,16.03,South,9/24/2019,x,x,x,x,x,x,x,x,x,All measurements taken from AS003.
2019,AS004,MW003,3,43.562538,-79.674057,25,30,16.03,South,9/24/2019,x,x,x,x,x,x,x,x,x,All measurements taken from AS003.
2019,AS004,MW003,4,43.562538,-79.674057,25,30,16.03,South,9/24/2019,x,x,x,x,x,x,x,x,x,All measurements taken from AS003.
2019,AS004,MW003,5,43.562538,-79.674057,25,30,16.03,South,9/24/2019,x,x,x,x,x,x,x,x,x,All measurements taken from AS003.
2019,AS005,MW004,1,43.567334,-79.686386,20,20,16.47,South,9/24/2019,117,2,0,3,8,9,1.993,,,All measurements taken from AS007 & AS008. Plants >3 m apart.
2019,AS005,MW004,2,43.567334,-79.686386,20,20,16.47,South,9/24/2019,112,4,0,4,11.2,"10.6,7.2,8",2.827,,,All measurements taken from AS007 & AS008. Plants >3 m apart.
2019,AS005,MW004,3,43.567334,-79.686386,20,20,16.47,South,9/24/2019,120,5,0,5,10,"6.2,9.4,9.6,10",2.703,,,All measurements taken from AS007 & AS008. Plants >3 m apart.
2019,AS005,MW004,4,43.567334,-79.686386,20,20,16.47,South,9/24/2019,103,3,0,4,10,"10,10",3.403,,,All measurements taken from AS007 & AS008. Plants >3 m apart.
2019,AS005,MW004,5,43.567334,-79.686386,20,20,16.47,South,9/24/2019,103,4,0,2,6.6,"7,7,6.8",2.034,,,All measurements taken from AS007 & AS008. Plants >3 m apart.
2019,AS006,MW004,1,43.569004,-79.684245,1,2,16.33,South,9/24/2019,x,x,x,x,x,x,x,x,x,All measurements taken from AS007 & AS008.
2019,AS006,MW004,2,43.569004,-79.684245,1,2,16.33,South,9/24/2019,x,x,x,x,x,x,x,x,x,All measurements taken from AS007 & AS008.
2019,AS007,MW004,1,43.566504,-79.680149,400,10,16.21,South,9/24/2019,x,x,x,x,x,x,x,x,x,All measurements taken from AS007 & AS008.
2019,AS007,MW004,2,43.566504,-79.680149,400,10,16.21,South,9/24/2019,x,x,x,x,x,x,x,x,x,All measurements taken from AS007 & AS008.
2019,AS007,MW004,3,43.566504,-79.680149,400,10,16.21,South,9/24/2019,x,x,x,x,x,x,x,x,x,All measurements taken from AS007 & AS008.
2019,AS007,MW004,4,43.566504,-79.680149,400,10,16.21,South,9/24/2019,x,x,x,x,x,x,x,x,x,All measurements taken from AS007 & AS008.
2019,AS007,MW004,5,43.566504,-79.680149,400,10,16.21,South,9/24/2019,x,x,x,x,x,x,x,x,x,All measurements taken from AS007 & AS008.
2019,AS008,MW004,1,43.566922,-79.679797,20,25,16.18,South,9/24/2019,x,x,x,x,x,x,x,x,x,All measurements taken from AS007 & AS008.
2019,AS008,MW004,2,43.566922,-79.679797,20,25,16.18,South,9/24/2019,x,x,x,x,x,x,x,x,x,All measurements taken from AS007 & AS008.
2019,AS008,MW004,3,43.566922,-79.679797,20,25,16.18,South,9/24/2019,x,x,x,x,x,x,x,x,x,All measurements taken from AS007 & AS008.
2019,AS008,MW004,4,43.566922,-79.679797,20,25,16.18,South,9/24/2019,x,x,x,x,x,x,x,x,x,All measurements taken from AS007 & AS008.
2019,AS008,MW004,5,43.566922,-79.679797,20,25,16.18,South,9/24/2019,x,x,x,x,x,x,x,x,x,All measurements taken from AS007 & AS008.
2019,AS009,MW004,1,43.563919,-79.682622,15,5,16.39,South,9/24/2019,x,x,x,x,x,x,x,x,x,All measurements taken from AS007 & AS008.
