Year,Pop_ID,Patch_ID,Plant_Num,Pollinia_1_1,Pollinia_1_2,Pollinia_1_3,Pollinia_2_1,Pollinia_2_2,Pollinia_2_3,Pollinia_3_1,Pollinia_3_2,Pollinia_3_3,Height_cm,Pop_Age_Stage,Date_Found,Date_Found_365,Ramets,Surveyor,Notes,Latitude,Longitude,Area_sq_m_2018,Plants_present_2018,City_dist,Transect_ID,Date,Height,Viable_Pods,Aborted_Pods,Total_Pods,Peduncles,Collected_pod_length,Other_pod_lengths,Collected_pod_width,Collected_pod_seed_number,Collected_pod_seed_weight,Notes_PodCollecting
2019,AS001,MW001,1,0,0,0,0,0,0,0,0,0,78,Middle-Late,7/18/2019,199,1,Sophie,Milkweed removed from CCT garden. Data from patch next to Deerfield Hall (between theatre and DH)- still within technical population limit of 500m apart. Patch was 100 sq m and saw about 50 plants.,43.550556,-79.663,15,40,15.89,South,9/10/2019,34,3,2,5,5,10,"7, 9",3.4,,,>3 m between plants
2019,AS001,MW001,2,0,0,0,0,0,0,0,0,0,83,Middle-Late,7/18/2019,199,1,Sophie,Milkweed removed from CCT garden. Data from patch next to Deerfield Hall (between theatre and DH)- still within technical population limit of 500m apart. Patch was 100 sq m and saw about 50 plants.,43.550556,-79.663,15,40,15.89,South,9/10/2019,67,1,0,1,1,9.5,NA,2.6,,,>3 m between plants
2019,AS001,MW001,3,0,0,0,0,0,0,0,0,0,89,Middle-Late,7/18/2019,199,1,Sophie,Milkweed removed from CCT garden. Data from patch next to Deerfield Hall (between theatre and DH)- still within technical population limit of 500m apart. Patch was 100 sq m and saw about 50 plants.,43.550556,-79.663,15,40,15.89,South,9/10/2019,62,0,0,0,0,NA,NA,NA,,,>3 m between plants
2019,AS001,MW001,4,0,0,1,3,0,0,0,1,0,107,Middle-Late,7/18/2019,199,1,Sophie,Milkweed removed from CCT garden. Data from patch next to Deerfield Hall (between theatre and DH)- still within technical population limit of 500m apart. Patch was 100 sq m and saw about 50 plants.,43.550556,-79.663,15,40,15.89,South,9/10/2019,97,0,0,0,0,NA,NA,NA,,,>3 m between plants
2019,AS001,MW001,5,0,1,0,x,x,x,x,x,x,74,Middle-Late,7/18/2019,199,1,Sophie,Milkweed removed from CCT garden. Data from patch next to Deerfield Hall (between theatre and DH)- still within technical population limit of 500m apart. Patch was 100 sq m and saw about 50 plants.,43.550556,-79.663,15,40,15.89,South,9/10/2019,80,2,0,2,2,9.5,10,3,,,>3 m between plants
2019,AS002,MW002,1,0,1,0,1,1,0,1,0,0,87,Middle,7/7/2019,188,2,Vanessa,Lots still along the hill.,43.550225,-79.654062,10,25,15.51,South,9/26/2019,111,4,0,4,5,7,"6.4,6.4,5.4",2.233,,,Plants >3m apart
2019,AS002,MW002,2,0,1,2,0,1,0,0,0,0,115.5,Middle,7/7/2019,188,1,Vanessa,Lots still along the hill.,43.550225,-79.654062,10,25,15.51,South,9/26/2019,116,5,1,6,7,7.8,"6,8,8,7.4",2.409,,,Plants >3m apart
2019,AS002,MW002,3,1,0,0,0,1,0,0,0,1,134,Middle,7/7/2019,188,1,Vanessa,Lots still along the hill.,43.550225,-79.654062,10,25,15.51,South,9/26/2019,145,7,0,7,5,8.6,"8.4,7.6,10.2,8,9,9.8",2.791,,,Plants >3m apart
2019,AS002,MW002,4,1,1,1,1,0,0,3,2,0,125,Middle,7/7/2019,188,1,Vanessa,Lots still along the hill.,43.550225,-79.654062,10,25,15.51,South,9/26/2019,126,4,0,4,5,8,"7,6.8,7",2.418,,,Plants >3m apart
2019,AS002,MW002,5,1,2,2,3,2,2,0,0,0,116,Middle,7/7/2019,188,1,Albert,Lots still along the hill.,43.550225,-79.654062,10,25,15.51,South,9/26/2019,108,2,0,2,3,8,7.6,2.198,,,Plants >3m apart
2019,AS003,MW003,1,1,0,1,0,3,1,0,2,2,125,Early-Late,7/12/2019,193,1,Vanessa,x,43.565106,-79.671002,3,20,15.82,South,9/24/2019,111,2,0,2,5,11,8.8,3.039,,,All measurements taken from AS003.
2019,AS003,MW003,2,1,1,0,1,1,2,2,1,1,124,Early-Late,7/12/2019,193,1,Vanessa,x,43.565106,-79.671002,3,20,15.82,South,9/24/2019,86,2,0,2,5,9,8.6,2.684,,,All measurements taken from AS003.
2019,AS003,MW003,3,3,4,2,1,1,1,1,0,1,121,Early-Late,7/12/2019,193,1,Vanessa,x,43.565106,-79.671002,3,20,15.82,South,9/24/2019,149,3,2,5,5,11.2,"10,11",3.37,,,All measurements taken from AS003.
2019,AS003,MW003,4,2,2,1,1,0,1,0,1,0,143,Early-Late,7/12/2019,193,1,Vanessa,x,43.565106,-79.671002,3,20,15.82,South,9/24/2019,172,4,0,4,3,9.6,"10,10,9.2",2.805,,,All measurements taken from AS003.
2019,AS003,MW003,5,3,1,2,0,0,1,1,0,0,156,Early-Late,7/12/2019,193,1,Vanessa,x,43.565106,-79.671002,3,20,15.82,South,9/24/2019,167,4,1,5,5,10.6,"10,10,9.4",3.289,,,All measurements taken from AS003.
