Pop_ID,Patch_ID,Plant_Num,Pollinia_1_1,Pollinia_1_2,Pollinia_1_3,Pollinia_2_1,Pollinia_2_2,Pollinia_2_3,Pollinia_3_1,Pollinia_3_2,Pollinia_3_3,Height_cm,Pop_Age_Stage,Date_Found,Date_Found_365,Ramets,Surveyor,Notes_2019,Notes_2018,Latitude,Longitude,Area_sq_m_2018,Plants_present_2018
AS001,MW001,1,0,0,0,0,0,0,0,0,0,78,Middle-Late,7/18/2019,199,1,Sophie,Milkweed removed from CCT garden. Data from patch next to Deerfield Hall (between theatre and DH)- still within technical population limit of 500m apart. Patch was 100 sq m and saw about 50 plants.,UofT CCT garden,43.550556,-79.663,15,40
AS001,MW001,2,0,0,0,0,0,0,0,0,0,83,Middle-Late,7/18/2019,199,1,Sophie,Milkweed removed from CCT garden. Data from patch next to Deerfield Hall (between theatre and DH)- still within technical population limit of 500m apart. Patch was 100 sq m and saw about 50 plants.,UofT CCT garden,43.550556,-79.663,15,40
AS001,MW001,3,0,0,0,0,0,0,0,0,0,89,Middle-Late,7/18/2019,199,1,Sophie,Milkweed removed from CCT garden. Data from patch next to Deerfield Hall (between theatre and DH)- still within technical population limit of 500m apart. Patch was 100 sq m and saw about 50 plants.,UofT CCT garden,43.550556,-79.663,15,40
AS001,MW001,4,0,0,1,3,0,0,0,1,0,107,Middle-Late,7/18/2019,199,1,Sophie,Milkweed removed from CCT garden. Data from patch next to Deerfield Hall (between theatre and DH)- still within technical population limit of 500m apart. Patch was 100 sq m and saw about 50 plants.,UofT CCT garden,43.550556,-79.663,15,40
AS001,MW001,5,0,1,0,,,,,,,74,Middle-Late,7/18/2019,199,1,Sophie,Milkweed removed from CCT garden. Data from patch next to Deerfield Hall (between theatre and DH)- still within technical population limit of 500m apart. Patch was 100 sq m and saw about 50 plants.,UofT CCT garden,43.550556,-79.663,15,40
AS002,MW002,1,0,1,0,1,1,0,1,0,0,87,Middle,7/7/2019,188,2,Vanessa,Lots still along the hill.,Erindale Park hill,43.550225,-79.654062,10,25
AS002,MW002,2,0,1,2,0,1,0,0,0,0,115.5,Middle,7/7/2019,188,1,Vanessa,Lots still along the hill.,Erindale Park hill,43.550225,-79.654062,10,25
AS002,MW002,3,1,0,0,0,1,0,0,0,1,134,Middle,7/7/2019,188,1,Vanessa,Lots still along the hill.,Erindale Park hill,43.550225,-79.654062,10,25
AS002,MW002,4,1,1,1,1,0,0,3,2,0,125,Middle,7/7/2019,188,1,Vanessa,Lots still along the hill.,Erindale Park hill,43.550225,-79.654062,10,25
AS002,MW002,5,1,2,2,3,2,2,0,0,0,116,Middle,7/7/2019,188,1,Albert,Lots still along the hill.,Erindale Park hill,43.550225,-79.654062,10,25
AS003,MW003,1,1,0,1,0,3,1,0,2,2,125,Early-Late,7/12/2019,193,1,Vanessa,,Riverwood Conservancy marsh pond,43.565106,-79.671002,3,20
AS003,MW003,2,1,1,0,1,1,2,2,1,1,124,Early-Late,7/12/2019,193,1,Vanessa,,Riverwood Conservancy marsh pond,43.565106,-79.671002,3,20
AS003,MW003,3,3,4,2,1,1,1,1,0,1,121,Early-Late,7/12/2019,193,1,Vanessa,,Riverwood Conservancy marsh pond,43.565106,-79.671002,3,20
AS003,MW003,4,2,2,1,1,0,1,0,1,0,143,Early-Late,7/12/2019,193,1,Vanessa,,Riverwood Conservancy marsh pond,43.565106,-79.671002,3,20
AS003,MW003,5,3,1,2,0,0,1,1,0,0,156,Early-Late,7/12/2019,193,1,Vanessa,,Riverwood Conservancy marsh pond,43.565106,-79.671002,3,20
AS004,MW003,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Vanessa,Checked these as well but none were flowering.,Riverwood Conservancy Credit River bank,43.562538,-79.674057,25,30
AS004,MW003,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Vanessa,Checked these as well but none were flowering.,Riverwood Conservancy Credit River bank,43.562538,-79.674057,25,30
AS004,MW003,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Vanessa,Checked these as well but none were flowering.,Riverwood Conservancy Credit River bank,43.562538,-79.674057,25,30
AS004,MW003,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Vanessa,Checked these as well but none were flowering.,Riverwood Conservancy Credit River bank,43.562538,-79.674057,25,30
AS004,MW003,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,Vanessa,Checked these as well but none were flowering.,Riverwood Conservancy Credit River bank,43.562538,-79.674057,25,30
AS005,MW004,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,"Hewick Meadows. Much evidence of herbivory by insects: wrinkled, disformed, discolored/splotchy leaves",43.567334,-79.686386,20,20
AS005,MW004,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,"Hewick Meadows. Much evidence of herbivory by insects: wrinkled, disformed, discolored/splotchy leaves",43.567334,-79.686386,20,20
AS005,MW004,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,"Hewick Meadows. Much evidence of herbivory by insects: wrinkled, disformed, discolored/splotchy leaves",43.567334,-79.686386,20,20
AS005,MW004,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,"Hewick Meadows. Much evidence of herbivory by insects: wrinkled, disformed, discolored/splotchy leaves",43.567334,-79.686386,20,20
AS005,MW004,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,"Hewick Meadows. Much evidence of herbivory by insects: wrinkled, disformed, discolored/splotchy leaves",43.567334,-79.686386,20,20
AS006,MW004,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,Garden in front yard of 4416 Credit Pointe Drive,43.569004,-79.684245,1,2
AS006,MW004,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,Garden in front yard of 4416 Credit Pointe Drive,43.569004,-79.684245,1,2
AS007,MW004,1,2,1,0,2,2,0,1,0,0,116,Early-Middle,7/12/2019,193,1,Vanessa,Dispersed along the field near construction site. Large patch in one area,Right of Way (mowed and unmowed areas),43.566504,-79.680149,400,10
AS007,MW004,2,2,1,3,1,1,2,,,,90,Early-Middle,7/12/2019,193,1,Vanessa,Dispersed along the field near construction site. Large patch in one area,Right of Way (mowed and unmowed areas),43.566504,-79.680149,400,10
AS007,MW004,3,2,2,3,0,0,0,1,1,0,63,Early-Middle,7/12/2019,193,1,Vanessa,Dispersed along the field near construction site. Large patch in one area,Right of Way (mowed and unmowed areas),43.566504,-79.680149,400,10
AS007,MW004,4,1,0,0,0,0,1,0,1,0,60,Early-Middle,7/12/2019,193,1,Vanessa,Dispersed along the field near construction site. Large patch in one area,Right of Way (mowed and unmowed areas),43.566504,-79.680149,400,10
AS007,MW004,5,3,1,2,0,0,0,0,1,0,115,Early-Middle,7/12/2019,193,1,Vanessa,Dispersed along the field near construction site. Large patch in one area,Right of Way (mowed and unmowed areas),43.566504,-79.680149,400,10
AS008,MW004,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,Right of Way (mowed and unmowed areas),43.566922,-79.679797,20,25
AS008,MW004,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,Right of Way (mowed and unmowed areas),43.566922,-79.679797,20,25
AS008,MW004,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,Right of Way (mowed and unmowed areas),43.566922,-79.679797,20,25
AS008,MW004,4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,Right of Way (mowed and unmowed areas),43.566922,-79.679797,20,25
AS008,MW004,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,Right of Way (mowed and unmowed areas),43.566922,-79.679797,20,25
AS009,MW004,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,Right of Way (mowed and unmowed areas),43.563919,-79.682622,15,5
AS009,MW004,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,Right of Way (mowed and unmowed areas),43.563919,-79.682622,15,5
