Pop_ID,Patch_ID,City_dist,lat,lon,Transect
AS001,MW001,25.60721179,43.550556,-79.663,South
AS002,MW002,24.98705092,43.550225,-79.654062,South
AS003,MW003,25.49177829,43.565106,-79.671002,South
AS004,MW003,25.83248939,43.562538,-79.674057,South
AS005,MW004,26.53968599,43.567334,-79.686386,South
AS006,MW004,26.31011074,43.569004,-79.684245,South
AS007,MW004,26.10940189,43.566504,-79.680149,South
AS008,MW004,26.06531642,43.566922,-79.679797,South
AS009,MW004,26.40489109,43.563919,-79.682622,South
AS010,MW005,34.69199109,43.493329,-79.747541,Rural
AS011,MW005,34.72230263,43.493262,-79.747925,Rural
AS012,MW005,34.76488771,43.492717,-79.748081,Rural
AS013,MW005,34.87148786,43.492005,-79.749026,Rural
AS014,MW006,40.35511251,43.438669,-79.780878,Rural
AS015,MW006,40.3886832,43.434924,-79.777459,Rural
AS016,MW006,40.30113565,43.436081,-79.777321,Rural
AS017,MW007,48.93081605,43.434493,-79.904435,Rural
AS018,MW007,48.7619062,43.434819,-79.902274,Rural
AS019,MW007,48.91395038,43.434125,-79.903894,Rural
AS020,MW007,48.85693839,43.433302,-79.902403,Rural
AS021,MW008,45.01906409,43.457451,-79.866815,Rural
AS022,MW009,35.70189422,43.516263,-79.77922,Rural
AS023,MW010,36.15775186,43.525816,-79.791571,Rural
AS024,MW011,22.04480992,43.589594,-79.638468,South
AS025,MW012,25.26811188,43.534585,-79.645432,South
AS026,MW013,15.93698124,43.615384,-79.570454,South
AS027,MW014,11.35399112,43.648581,-79.521463,South
AS028,MW015,9.63737614,43.661177,-79.500382,South
AS029,MW016,13.92879297,43.711948,-79.535894,North
AS030,MW017,41.19264328,43.501061,-79.844567,Rural
AS031,MW018,41.53200351,43.484111,-79.837702,Rural
AS032,MW019,53.47318914,43.41401,-79.953028,Rural
AS033,MW020,55.44354834,43.387612,-79.959232,Rural
AS034,MW021,52.79539444,43.399222,-79.930576,Rural
AS035,MW022,57.07085925,43.377146,-79.973861,Rural
AS036,MW023,57.96584875,43.371308,-79.981819,Rural
AS037,MW024,60.67999432,43.363349,-80.01471,Rural
AS038,MW025,8.859249046,43.726774,-79.432109,North
AS039,MW026,8.725651157,43.719453,-79.445163,North
AS040,MW027,9.38480336,43.726466,-79.445593,North
AS041,MW028,9.188664199,43.713472,-79.463271,North
AS042,MW029,9.947022004,43.713584,-79.475768,North
AS043,MW030,11.92943612,43.71387,-79.505919,North
AS044,MW031,12.54999419,43.713092,-79.515599,North
AS045,MW032,9.54746299,43.66963,-79.498027,South
AS046,MW033,62.88065091,43.358912,-80.043033,Rural
AS047,MW034,63.6238543,43.357422,-80.052572,Rural
AS048,MW035,67.25004742,43.349551,-80.098407,Rural
AS049,MW036,65.63064905,43.321018,-80.049313,Rural
AS050,MW037,14.06716905,43.702158,-79.543737,North
AS051,MW038,14.45497706,43.701032,-79.549473,North
AS052,MW039,15.45899407,43.701432,-79.56251,North
AS053,MW040,15.86405134,43.690086,-79.572325,North
AS054,MW041,15.49606286,43.675131,-79.571575,North
AS055,MW042,15.83866568,43.664067,-79.577284,North
AS056,MW043,64.77466368,43.32296,-80.038276,Rural
AS057,MW044,61.50793071,43.330042,-79.995566,Rural
AS058,MW045,59.03038099,43.335538,-79.962974,Rural
AS059,MW046,58.31438553,43.343046,-79.959704,Rural
AS060,MW047,33.46853545,43.519441,-79.750471,Rural
AS061,MW048,32.03114928,43.530493,-79.738194,Rural
AS062,MW049,31.43185932,43.534939,-79.732912,South
AS063,MW050,30.60852182,43.535065,-79.721652,South
AS064,MW051,3.692608662,43.669676,-79.422881,South
AS065,MW052,3.653544068,43.680726,-79.411251,South
AS066,MW053,5.418571855,43.691138,-79.427943,South
AS067,MW054,4.811403888,43.67876,-79.431977,South
AS068,MW055,5.654860321,43.674579,-79.446438,South
AS069,MW056,5.987405876,43.671068,-79.452408,South
AS070,MW057,6.722348165,43.67024,-79.462135,South
AS071,MW058,7.712759689,43.671812,-79.474258,South
AS072,MW059,8.329974759,43.670454,-79.482484,South
AS073,MW060,16.3582066,43.646988,-79.583587,North
AS074,MW061,18.2525905,43.654607,-79.607519,North
AS075,MW062,19.09387441,43.651476,-79.617876,North
AS076,MW063,20.5911841,43.63776,-79.635241,North
AS077,MW064,22.05331867,43.628807,-79.652009,North
AS078,MW065,23.82638989,43.626304,-79.673743,North
AS079,MW066,26.18012868,43.618104,-79.701542,North
AS080,MW067,26.61251389,43.613475,-79.705867,North
AS081,MW068,28.10715255,43.595802,-79.719547,North
AS082,MW069,28.1203607,43.553597,-79.699608,South
AS083,MW070,29.94986825,43.571026,-79.733337,North
AS084,MW071,29.20965465,43.564655,-79.720469,North
AS085,MW072,28.14803987,43.5789,-79.713398,North
AS086,MW073,32.35082743,43.554564,-79.756834,North
AS087,MW074,23.91492691,43.568721,-79.651832,South
AS088,MW075,22.55875845,43.573691,-79.63648,South
AS089,MW076,21.82907402,43.579335,-79.630017,South
AS090,MW077,20.50695672,43.589966,-79.6183,South
AS091,MW078,19.71434731,43.591194,-79.608405,South
AS092,MW079,17.43758131,43.601609,-79.583684,South
AS093,MW080,14.0968647,43.633829,-79.553119,South
