Patch_ID,City_dist,lat,lon,Transect
MW001,25.60721179,43.550556,-79.663,Urban: Corridor
MW002,24.98705092,43.550225,-79.654062,Urban: Corridor
MW003,25.49177829,43.565106,-79.671002,Urban: Corridor
MW004,26.53968599,43.567334,-79.686386,Urban: Corridor
MW005,34.69199109,43.493329,-79.747541,Rural
MW006,40.35511251,43.438669,-79.780878,Rural
MW007,48.93081605,43.434493,-79.904435,Rural
MW008,45.01906409,43.457451,-79.866815,Rural
MW009,35.70189422,43.516263,-79.77922,Rural
MW010,36.15775186,43.525816,-79.791571,Rural
MW011,22.04480992,43.589594,-79.638468,Urban: Corridor
MW012,25.26811188,43.534585,-79.645432,Urban: Corridor
MW013,15.93698124,43.615384,-79.570454,Urban: Corridor
MW014,11.35399112,43.648581,-79.521463,Urban: Corridor
MW015,9.63737614,43.661177,-79.500382,Urban: Corridor
MW016,13.92879297,43.711948,-79.535894,Urban: Non-Corridor
MW017,41.19264328,43.501061,-79.844567,Rural
MW018,41.53200351,43.484111,-79.837702,Rural
MW019,53.47318914,43.41401,-79.953028,Rural
MW020,55.44354834,43.387612,-79.959232,Rural
MW021,52.79539444,43.399222,-79.930576,Rural
MW022,57.07085925,43.377146,-79.973861,Rural
MW023,57.96584875,43.371308,-79.981819,Rural
MW024,60.67999432,43.363349,-80.01471,Rural
MW025,8.859249046,43.726774,-79.432109,Urban: Non-Corridor
MW026,8.725651157,43.719453,-79.445163,Urban: Non-Corridor
MW027,9.38480336,43.726466,-79.445593,Urban: Non-Corridor
MW028,9.188664199,43.713472,-79.463271,Urban: Non-Corridor
MW029,9.947022004,43.713584,-79.475768,Urban: Non-Corridor
MW030,11.92943612,43.71387,-79.505919,Urban: Non-Corridor
MW031,12.54999419,43.713092,-79.515599,Urban: Non-Corridor
MW032,9.54746299,43.66963,-79.498027,Urban: Corridor
MW033,62.88065091,43.358912,-80.043033,Rural
MW034,63.6238543,43.357422,-80.052572,Rural
MW035,67.25004742,43.349551,-80.098407,Rural
MW036,65.63064905,43.321018,-80.049313,Rural
MW037,14.06716905,43.702158,-79.543737,Urban: Non-Corridor
MW038,14.45497706,43.701032,-79.549473,Urban: Non-Corridor
MW039,15.45899407,43.701432,-79.56251,Urban: Non-Corridor
MW040,15.86405134,43.690086,-79.572325,Urban: Non-Corridor
MW041,15.49606286,43.675131,-79.571575,Urban: Non-Corridor
MW042,15.83866568,43.664067,-79.577284,Urban: Non-Corridor
MW043,64.77466368,43.32296,-80.038276,Rural
MW044,61.50793071,43.330042,-79.995566,Rural
MW045,59.03038099,43.335538,-79.962974,Rural
MW046,58.31438553,43.343046,-79.959704,Rural
MW047,33.46853545,43.519441,-79.750471,Rural
MW048,32.03114928,43.530493,-79.738194,Rural
MW049,31.43185932,43.534939,-79.732912,Urban: Corridor
MW050,30.60852182,43.535065,-79.721652,Urban: Corridor
MW051,3.692608662,43.669676,-79.422881,Urban: Corridor
MW052,3.653544068,43.680726,-79.411251,Urban: Corridor
MW053,5.418571855,43.691138,-79.427943,Urban: Corridor
MW054,4.811403888,43.67876,-79.431977,Urban: Corridor
MW055,5.654860321,43.674579,-79.446438,Urban: Corridor
MW056,5.987405876,43.671068,-79.452408,Urban: Corridor
MW057,6.722348165,43.67024,-79.462135,Urban: Corridor
MW058,7.712759689,43.671812,-79.474258,Urban: Corridor
MW059,8.329974759,43.670454,-79.482484,Urban: Corridor
MW060,16.3582066,43.646988,-79.583587,Urban: Non-Corridor
MW061,18.2525905,43.654607,-79.607519,Urban: Non-Corridor
MW062,19.09387441,43.651476,-79.617876,Urban: Non-Corridor
MW063,20.5911841,43.63776,-79.635241,Urban: Non-Corridor
MW064,22.05331867,43.628807,-79.652009,Urban: Non-Corridor
MW065,23.82638989,43.626304,-79.673743,Urban: Non-Corridor
MW066,26.18012868,43.618104,-79.701542,Urban: Non-Corridor
MW067,26.61251389,43.613475,-79.705867,Urban: Non-Corridor
MW068,28.10715255,43.595802,-79.719547,Urban: Non-Corridor
MW069,28.1203607,43.553597,-79.699608,Urban: Corridor
MW070,29.94986825,43.571026,-79.733337,Urban: Non-Corridor
MW071,29.20965465,43.564655,-79.720469,Urban: Non-Corridor
MW072,28.14803987,43.5789,-79.713398,Urban: Non-Corridor
MW073,32.35082743,43.554564,-79.756834,Urban: Non-Corridor
MW074,23.91492691,43.568721,-79.651832,Urban: Corridor
MW075,22.55875845,43.573691,-79.63648,Urban: Corridor
MW076,21.82907402,43.579335,-79.630017,Urban: Corridor
MW077,20.50695672,43.589966,-79.6183,Urban: Corridor
MW078,19.71434731,43.591194,-79.608405,Urban: Corridor
MW079,17.43758131,43.601609,-79.583684,Urban: Corridor
MW080,14.0968647,43.633829,-79.553119,Urban: Corridor
