Population ID (Patch ID),Actual Population ID,Plant #,"Pollinia Removed (Inflorescence 1, Flower 1)","Pollinia Removed (Inflorescence 1, Flower 2)","Pollinia Removed (Inflorescence 1, Flower 3)","Pollinia Removed (Inflorescence 2, Flower 1)","Pollinia Removed (Inflorescence 2, Flower 2)","Pollinia Removed (Inflorescence 2, Flower 3)","Pollinia Removed (Inflorescence 3, Flower 1)","Pollinia Removed (Inflorescence 3, Flower 2)","Pollinia Removed (Inflorescence 3, Flower 3)",Area (sq m),Plants Present,Weevil Attack/Eggs,2011 NLCD Land Use/Land Cover within 200 m,Notes,"Population Age Stage (Early, Middle, Late)",Pods Seen,Date Found,Latitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Date Revisited,Height (cm),Pods Produced,Peduncles,Leaf collected?,"Leaf collected? 1 = yes, 0 = no",Seeds collected?,"Seeds collected? 1 = yes, 0 = no",Notes
AS001,MW001,1,1,1,0,3,1,1,0,0,1,15,40,N,"Developed, High Intensity (CCT/UofT buildings)
Developed, Open Space (Landscaped Area/Garden)",UofT CCT garden,Not recorded,Not recorded,7/9/2018,43.550556,-79.663,,,,,,,,,,,9/16/2018,72,2,3,yes,1,yes,1,>3 m between plants
AS001,MW001,2,3,1,1,2,2,0,No third inflorescence,No third inflorescence,No third inflorescence,15,40,N,"Developed, High Intensity (CCT/UofT buildings)
Developed, Open Space (Landscaped Area/Garden)",UofT CCT garden,Not recorded,Not recorded,7/9/2018,43.550556,-79.663,,,,,,,,,,,9/16/2018,121,nothing written,6,yes,1,yes,1,>3 m between plants
AS001,MW001,3,1,0,1,3,1,1,1,1,2,15,40,N,"Developed, High Intensity (CCT/UofT buildings)
Developed, Open Space (Landscaped Area/Garden)",UofT CCT garden,Not recorded,Not recorded,7/9/2018,43.550556,-79.663,,,,,,,,,,,9/16/2018,84,3,3,yes,1,yes,1,>3 m between plants
AS001,MW001,4,2,4,4,0,3,2,4,3,3,15,40,N,"Developed, High Intensity (CCT/UofT buildings)
Developed, Open Space (Landscaped Area/Garden)",UofT CCT garden,Not recorded,Not recorded,7/9/2018,43.550556,-79.663,,,,,,,,,,,9/16/2018,118,11,6,yes,1,yes,1,>3 m between plants
AS001,MW001,5,2,1,2,2,0,1,1,1,4,15,40,N,"Developed, High Intensity (CCT/UofT buildings)
Developed, Open Space (Landscaped Area/Garden)",UofT CCT garden,Not recorded,Not recorded,7/9/2018,43.550556,-79.663,C:1,,,,,,,,,,9/16/2018,94,7,5,yes,1,yes,1,>3 m between plants
AS002,MW002,1,1,1,0,2,1,2,1,3,2,10,25,Y,"Grassland/Herbaceous
Developed, Open Space
Deciduous Forest",Erindale Park hill,Not recorded,Not recorded,7/9/2018,43.550225,-79.654062,,,,,,,,,,,9/16/2018,86,3,4,yes,1,yes,1,>3 m between plants
AS002,MW002,2,2,3,0,1,0,1,2,4,4,10,25,Y,"Grassland/Herbaceous
Developed, Open Space
Deciduous Forest",Erindale Park hill,Not recorded,Not recorded,7/9/2018,43.550225,-79.654062,,,,S:1 (escaped),,,,,,,9/16/2018,100,11,7,yes,1,yes,1,>3 m between plants
AS002,MW002,3,1,3,1,0,2,0,1,0,0,10,25,Y,"Grassland/Herbaceous
Developed, Open Space
Deciduous Forest",Erindale Park hill,Not recorded,Not recorded,7/9/2018,43.550225,-79.654062,,,,,,,,,,,9/16/2018,100,2,3,yes,1,yes,1,>3 m between plants
AS002,MW002,4,0,1,1,0,2,1,2,0,3,10,25,"Y, eggs","Grassland/Herbaceous
Developed, Open Space
Deciduous Forest",Erindale Park hill,Not recorded,Not recorded,7/9/2018,43.550225,-79.654062,C:1,,,,,,,,,,9/16/2018,85,2,2,yes,1,yes,1,>3 m between plants
AS002,MW002,5,2,3,3,0,0,2,0,2,2,10,25,N,"Grassland/Herbaceous
Developed, Open Space
Deciduous Forest",Erindale Park hill,Not recorded,Not recorded,7/9/2018,43.550225,-79.654062,C:1,,,,,,,,,,9/16/2018,86,5,3,yes,1,yes,1,>3 m between plants
