Pop_ID,Patch_ID,Plant_Num,Pollinia_1_1,Pollinia_1_2,Pollinia_1_3,Pollinia_2_1,Pollinia_2_2,Pollinia_2_3,Pollinia_3_1,Pollinia_3_2,Pollinia_3_3,Average_Pollinia,Area_sq_m,Plants_present,Weevil_attack_Eggs,NLCD,Notes,Pop_Age_Stage,Pods_Seen,Date_Found,Date_Found_365,Latitude,Longitude,Transect_ID,Dist_city_center_km_Yonge_Bloor,Date_Revisited,Date_Revisited_365,Height_cm,Pods,Peduncles,Leaf_coll,Leaf_coll_binary,Seeds_coll,Seeds_coll_binary,Notes
AS001,MW001,1,1,1,0,3,1,1,0,0,1,0.89,15,40,N,"Developed, High Intensity (CCT/UofT buildings)
Developed, Open Space (Landscaped Area/Garden)",UofT CCT garden,NA,NA,7/9/2018,190,43.550556,-79.663,South,15.89,9/16/2018,259,72,2,3,yes,1,yes,1,>3 m between plants
AS001,MW001,2,3,1,1,2,2,0,NA,NA,NA,1.5,15,40,N,"Developed, High Intensity (CCT/UofT buildings)
Developed, Open Space (Landscaped Area/Garden)",UofT CCT garden,NA,NA,7/9/2018,190,43.550556,-79.663,South,15.89,9/16/2018,259,121,nothing written,6,yes,1,yes,1,>3 m between plants
AS001,MW001,3,1,0,1,3,1,1,1,1,2,1.22,15,40,N,"Developed, High Intensity (CCT/UofT buildings)
Developed, Open Space (Landscaped Area/Garden)",UofT CCT garden,NA,NA,7/9/2018,190,43.550556,-79.663,South,15.89,9/16/2018,259,84,3,3,yes,1,yes,1,>3 m between plants
AS001,MW001,4,2,4,4,0,3,2,4,3,3,2.78,15,40,N,"Developed, High Intensity (CCT/UofT buildings)
Developed, Open Space (Landscaped Area/Garden)",UofT CCT garden,NA,NA,7/9/2018,190,43.550556,-79.663,South,15.89,9/16/2018,259,118,11,6,yes,1,yes,1,>3 m between plants
AS001,MW001,5,2,1,2,2,0,1,1,1,4,1.56,15,40,N,"Developed, High Intensity (CCT/UofT buildings)
Developed, Open Space (Landscaped Area/Garden)",UofT CCT garden,NA,NA,7/9/2018,190,43.550556,-79.663,South,15.89,9/16/2018,259,94,7,5,yes,1,yes,1,>3 m between plants
AS002,MW002,1,1,1,0,2,1,2,1,3,2,1.44,10,25,Y,"Grassland/Herbaceous
Developed, Open Space
Deciduous Forest",Erindale Park hill,NA,NA,7/9/2018,190,43.550225,-79.654062,South,15.51,9/16/2018,259,86,3,4,yes,1,yes,1,>3 m between plants
AS002,MW002,2,2,3,0,1,0,1,2,4,4,1.89,10,25,Y,"Grassland/Herbaceous
Developed, Open Space
Deciduous Forest",Erindale Park hill,NA,NA,7/9/2018,190,43.550225,-79.654062,South,15.51,9/16/2018,259,100,11,7,yes,1,yes,1,>3 m between plants
AS002,MW002,3,1,3,1,0,2,0,1,0,0,0.89,10,25,Y,"Grassland/Herbaceous
Developed, Open Space
Deciduous Forest",Erindale Park hill,NA,NA,7/9/2018,190,43.550225,-79.654062,South,15.51,9/16/2018,259,100,2,3,yes,1,yes,1,>3 m between plants
AS002,MW002,4,0,1,1,0,2,1,2,0,3,1.11,10,25,"Y, eggs","Grassland/Herbaceous
Developed, Open Space
Deciduous Forest",Erindale Park hill,NA,NA,7/9/2018,190,43.550225,-79.654062,South,15.51,9/16/2018,259,85,2,2,yes,1,yes,1,>3 m between plants
AS002,MW002,5,2,3,3,0,0,2,0,2,2,1.56,10,25,N,"Grassland/Herbaceous
Developed, Open Space
Deciduous Forest",Erindale Park hill,NA,NA,7/9/2018,190,43.550225,-79.654062,South,15.51,9/16/2018,259,86,5,3,yes,1,yes,1,>3 m between plants
AS003,MW003,1,0,0,0,NA,NA,NA,NA,NA,NA,0,3,20,N,"Emergent Herbaceous Wetlands
Developed, Low Intensity (the visitor's center)
Developed, Medium Intensity (roads, parking lots)",Riverwood Conservancy marsh pond,NA,NA,7/9/2018,190,43.565106,-79.671002,South,15.82,9/14/2018,257,149,5,6,yes,1,yes,1,"For MW003, all plants collected from AS003. No pods at AS004"
AS003,MW003,2,0,0,0,0,0,1,NA,NA,NA,0.17,3,20,N,"Emergent Herbaceous Wetlands
Developed, Low Intensity (the visitor's center)
Developed, Medium Intensity (roads, parking lots)",Riverwood Conservancy marsh pond,NA,NA,7/9/2018,190,43.565106,-79.671002,South,15.82,9/14/2018,257,138,2,5,yes,1,yes,1,"For MW003, all plants collected from AS003. No pods at AS004"
AS003,MW003,3,1,2,0,2,2,2,0,1,0,1.11,3,20,N,"Emergent Herbaceous Wetlands
Developed, Low Intensity (the visitor's center)
Developed, Medium Intensity (roads, parking lots)",Riverwood Conservancy marsh pond,NA,NA,7/9/2018,190,43.565106,-79.671002,South,15.82,9/14/2018,257,155,7,7,yes,1,yes,1,"For MW003, all plants collected from AS003. No pods at AS004"
AS003,MW003,4,2,1,1,0,1,0,4,4,3,1.78,3,20,N,"Emergent Herbaceous Wetlands
Developed, Low Intensity (the visitor's center)
Developed, Medium Intensity (roads, parking lots)",Riverwood Conservancy marsh pond,NA,NA,7/9/2018,190,43.565106,-79.671002,South,15.82,9/14/2018,257,113,3,5,yes,1,yes,1,"For MW003, all plants collected from AS003. No pods at AS004"
AS003,MW003,5,2,0,0,3,1,1,1,1,2,1.22,3,20,N,"Emergent Herbaceous Wetlands
Developed, Low Intensity (the visitor's center)
Developed, Medium Intensity (roads, parking lots)",Riverwood Conservancy marsh pond,NA,NA,7/9/2018,190,43.565106,-79.671002,South,15.82,9/14/2018,257,161,9,7,yes,1,yes,1,"For MW003, all plants collected from AS003. No pods at AS004"
AS004,MW003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,30,N,"Scrub/Shrub
Open Water
Deciduous Forest",Riverwood Conservancy Credit River bank,NA,NA,7/9/2018,190,43.562538,-79.674057,South,16.03,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW003, all plants collected from AS003. No pods at AS004"
AS004,MW003,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,30,N,"Scrub/Shrub
Open Water
Deciduous Forest",Riverwood Conservancy Credit River bank,NA,NA,7/9/2018,190,43.562538,-79.674057,South,16.03,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW003, all plants collected from AS003. No pods at AS004"
AS004,MW003,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,30,N,"Scrub/Shrub
Open Water
Deciduous Forest",Riverwood Conservancy Credit River bank,NA,NA,7/9/2018,190,43.562538,-79.674057,South,16.03,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW003, all plants collected from AS003. No pods at AS004"
AS004,MW003,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,30,"Y, eggs","Scrub/Shrub
Open Water
Deciduous Forest",Riverwood Conservancy Credit River bank,NA,NA,7/9/2018,190,43.562538,-79.674057,South,16.03,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW003, all plants collected from AS003. No pods at AS004"
AS004,MW003,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,30,N,"Scrub/Shrub
Open Water
Deciduous Forest",Riverwood Conservancy Credit River bank,NA,NA,7/9/2018,190,43.562538,-79.674057,South,16.03,9/14/2018,257,NA,NA,NA,NA,1,NA,0,"For MW003, all plants collected from AS003. No pods at AS004"
